iter	MultiClass
0	2.097028232
1	1.929846016
2	1.802394583
3	1.703303251
4	1.623596112
5	1.548010875
6	1.477078792
7	1.42599738
8	1.376505587
9	1.332126901
10	1.289685584
11	1.248030641
12	1.20703125
13	1.172694319
14	1.141064023
15	1.107771534
16	1.076284635
17	1.049522828
18	1.025627524
19	1.003493885
20	0.9793554751
21	0.9607810527
22	0.9423017241
23	0.925014849
24	0.905159484
25	0.8872903478
26	0.8696218239
27	0.8537795802
28	0.8346355493
29	0.8192560427
30	0.8070541839
31	0.7937404031
32	0.7804804955
33	0.7658936502
34	0.755678816
35	0.743725952
36	0.731294913
37	0.7209947728
38	0.7096750192
39	0.6992805013
40	0.688948451
41	0.6791004643
42	0.6683011409
43	0.6605978596
44	0.6510944789
45	0.6415771723
46	0.6352580044
47	0.626520229
48	0.6192678678
49	0.6112397553
50	0.6050534404
51	0.5987882651
52	0.5917126433
53	0.5862121184
54	0.5789437226
55	0.5727852992
56	0.5667907635
57	0.5613231833
58	0.5540551455
59	0.5480376123
60	0.542637115
61	0.5371762192
62	0.5328226301
63	0.5284481123
64	0.5233965977
65	0.5195776033
66	0.5148735593
67	0.5100514239
68	0.5040235457
69	0.49969562
70	0.4949333261
71	0.4899950488
72	0.4849509745
73	0.4814763473
74	0.4760773222
75	0.4716015832
76	0.4665238481
77	0.4627286869
78	0.4592129584
79	0.4565641361
80	0.4525138925
81	0.4487731615
82	0.444433538
83	0.4407104333
84	0.4363504382
85	0.4328322827
86	0.4295066227
87	0.4266014845
88	0.4232851349
89	0.4207699613
90	0.4173445123
91	0.4148511824
92	0.4118707649
93	0.4087884895
94	0.4055297533
95	0.4038901198
96	0.4000724385
97	0.3962671312
98	0.3948750999
99	0.3917297204
100	0.3896891011
101	0.3860291801
102	0.3834103581
103	0.3810469765
104	0.3788242862
105	0.3763046563
106	0.3733506184
107	0.3722049161
108	0.368863858
109	0.3661783509
110	0.363595975
111	0.3614704077
112	0.3589335893
113	0.3567231538
114	0.3551260141
115	0.3527713064
116	0.3501354551
117	0.3483985394
118	0.3466544618
119	0.3435805817
120	0.3416130136
121	0.3397346109
122	0.3372790002
123	0.3352233807
124	0.3343427874
125	0.3322427245
126	0.3305233952
127	0.328374711
128	0.3271013481
129	0.3243580088
130	0.3232655631
131	0.3212051491
132	0.3195296067
133	0.31781919
134	0.3155563335
135	0.3144572431
136	0.3127018059
137	0.3113879983
138	0.3097901226
139	0.3077796827
140	0.306553449
141	0.3049783122
142	0.3033283338
143	0.3015235195
144	0.2997582944
145	0.2982954998
146	0.297480378
147	0.2953800962
148	0.2930486846
149	0.2924030607
150	0.2912894278
151	0.2895283805
152	0.2878133483
153	0.2854399998
154	0.2840912581
155	0.2825651604
156	0.2806337399
157	0.2791139088
158	0.2780062242
159	0.2766807785
160	0.2751109535
161	0.2735166587
162	0.2723974952
163	0.271136586
164	0.2696053954
165	0.2680030634
166	0.2669413143
167	0.2658565278
168	0.2645833638
169	0.2633573888
170	0.2622032912
171	0.2610167661
172	0.2600287247
173	0.2583965913
174	0.2570758805
175	0.2564772664
176	0.2556668795
177	0.2545627758
178	0.2534279556
179	0.2526134108
180	0.2516024315
181	0.2504615634
182	0.2491930945
183	0.2480625715
184	0.2472629671
185	0.2465005052
186	0.2454074029
187	0.2445992441
188	0.2437272451
189	0.2432297728
190	0.241793875
191	0.2409402183
192	0.2399955461
193	0.239312402
194	0.2385730768
195	0.2379227182
196	0.2371072185
197	0.2365429019
198	0.2359580347
199	0.2352245783
200	0.234188234
201	0.233084747
202	0.2319770027
203	0.2315203133
204	0.2305787844
205	0.228876007
206	0.2279888685
207	0.2266347952
208	0.225488138
209	0.2244993804
210	0.2232082322
211	0.2224981315
212	0.2216132809
213	0.220454926
214	0.2194623686
215	0.2189342195
216	0.2182538606
217	0.2177538617
218	0.217064053
219	0.2164735558
220	0.2157449138
221	0.2153172698
222	0.2147114939
223	0.2139580837
224	0.2129239278
225	0.2118418667
226	0.2109587668
227	0.209943749
228	0.2095135188
229	0.2082743738
230	0.2074251138
231	0.206362171
232	0.2059030943
233	0.2051869458
234	0.2043502788
235	0.2037678188
236	0.2033963558
237	0.2026442188
238	0.2020655387
239	0.2015700956
240	0.2012183874
241	0.2005936127
242	0.2001614726
243	0.1996643982
244	0.1991425555
245	0.1983968643
246	0.197200611
247	0.1967762098
248	0.1959186738
249	0.1953185478
250	0.1943975894
251	0.1939552635
252	0.1930776544
253	0.1921609135
254	0.1914146254
255	0.1910116502
256	0.1904422009
257	0.1899504979
258	0.1892403375
259	0.1888466329
260	0.1885258203
261	0.1878397717
262	0.1873407874
263	0.1870365466
264	0.186362514
265	0.185867409
266	0.1854320461
267	0.1848229678
268	0.1844329237
269	0.183689202
270	0.1830770003
271	0.1827121421
272	0.1819545144
273	0.1814716245
274	0.1808204502
275	0.180125469
276	0.1792853404
277	0.1788804752
278	0.1782691687
279	0.177784926
280	0.1774028196
281	0.1770091747
282	0.1763695191
283	0.175631308
284	0.1749465922
285	0.1746634393
286	0.1741967232
287	0.1738359235
288	0.173275546
289	0.1728725707
290	0.1724405301
291	0.1719594903
292	0.17135455
293	0.1710746795
294	0.1705589245
295	0.1702812821
296	0.1695830981
297	0.1687853439
298	0.1684316265
299	0.1681439575
300	0.1675367691
301	0.1671471229
302	0.1666636759
303	0.16619318
304	0.1656329218
305	0.1651207279
306	0.1645763651
307	0.1640524435
308	0.1638331805
309	0.1635899848
310	0.1631605504
311	0.1626604421
312	0.1621993859
313	0.1618674725
314	0.1613637633
315	0.160899733
316	0.1604618635
317	0.1600058306
318	0.159460672
319	0.1590320632
320	0.1586992445
321	0.1582589578
322	0.1577115314
323	0.1573516269
324	0.156963055
325	0.1567451149
326	0.1561540407
327	0.1557267449
328	0.1553626925
329	0.1549070077
330	0.1541234978
331	0.1534705529
332	0.1531242162
333	0.15245836
334	0.1520762139
335	0.1517074963
336	0.1514014651
337	0.150850587
338	0.1504206154
339	0.1499700335
340	0.1496164255
341	0.1491014762
342	0.148612986
343	0.1482028688
344	0.147808448
345	0.1471666836
346	0.1469989762
347	0.1467035883
348	0.1463088492
349	0.1459715046
350	0.1454553716
351	0.144998344
352	0.1446601639
353	0.1445202585
354	0.1441501483
355	0.1437844049
356	0.1434160454
357	0.1432916276
358	0.1430247082
359	0.1425681282
360	0.1421047246
361	0.1415372647
362	0.1411562227
363	0.1407568085
364	0.1405402312
365	0.140231564
366	0.1397147744
367	0.1391860484
368	0.1387470847
369	0.1382821293
370	0.137939861
371	0.1375397504
372	0.1372124027
373	0.1369732356
374	0.136525041
375	0.1358739462
376	0.1355325632
377	0.1352609388
378	0.1350708704
379	0.1348534476
380	0.1346534222
381	0.1341145999
382	0.1338546733
383	0.1336064544
384	0.1334739894
385	0.1332205284
386	0.1327614318
387	0.1325448246
388	0.1323036084
389	0.1318035101
390	0.1313857137
391	0.1310164888
392	0.1305813646
393	0.1303743564
394	0.1300587859
395	0.1297169154
396	0.129395516
397	0.1289686579
398	0.1287793056
399	0.1284662717
400	0.1282852551
401	0.1280765956
402	0.1277857436
403	0.1274279877
404	0.1270497905
405	0.126849974
406	0.1265483394
407	0.1260508471
408	0.1259092607
409	0.1255818731
410	0.1253157197
411	0.1248405984
412	0.1247109683
413	0.1244657434
414	0.1240474
415	0.1237905669
416	0.1235244632
417	0.1232327259
418	0.123017571
419	0.1226956841
420	0.1224694979
421	0.1222653147
422	0.1219019287
423	0.1217198776
424	0.1214730214
425	0.1212579163
426	0.1209923895
427	0.1206489175
428	0.1204909383
429	0.1201046741
430	0.1197598493
431	0.1196090519
432	0.1194357443
433	0.1189830039
434	0.1187327757
435	0.1186132021
436	0.1184633297
437	0.1182558838
438	0.1180462097
439	0.1177084772
440	0.1174814257
441	0.1170691399
442	0.1167825154
443	0.1163328686
444	0.1160310847
445	0.1158513613
446	0.11549836
447	0.1152934009
448	0.1149781785
449	0.1147588359
450	0.1145299939
451	0.1143359168
452	0.1138382256
453	0.1133371624
454	0.1130696064
455	0.1128960302
456	0.1127017045
457	0.1124963872
458	0.1121872923
459	0.1119422067
460	0.1116626943
461	0.1114590482
462	0.1112136145
463	0.1110230089
464	0.1107987624
465	0.1106844607
466	0.1105179569
467	0.1103500505
468	0.1101405754
469	0.1098094279
470	0.1096765352
471	0.1095571704
472	0.1093621285
473	0.1091147949
474	0.1089495444
475	0.1085337374
476	0.1083669153
477	0.1079056801
478	0.1075095285
479	0.1072721121
480	0.1070556143
481	0.1068513714
482	0.1066094887
483	0.1064390657
484	0.1062224486
485	0.1059550219
486	0.1057459248
487	0.1054900467
488	0.105322001
489	0.1050627608
490	0.1047844918
491	0.1046522954
492	0.1043288369
493	0.1041803671
494	0.1039442139
495	0.1037809926
496	0.103531789
497	0.103431821
498	0.1032084499
499	0.102932598
500	0.1025338502
501	0.1022368012
502	0.1019792818
503	0.1017965344
504	0.101514406
505	0.1012870958
506	0.1009323836
507	0.1008179427
508	0.1006614854
509	0.1004343145
510	0.100161775
511	0.0999983846
512	0.09975203573
513	0.09951165509
514	0.09926293882
515	0.09913760587
516	0.09897098268
517	0.09888492072
518	0.09869454395
519	0.09855453909
520	0.09838611548
521	0.09819999605
522	0.09783087063
523	0.09774051154
524	0.09760318244
525	0.09741486471
526	0.09723259479
527	0.09703412112
528	0.09663273738
529	0.09650360466
530	0.09631710724
531	0.09605118255
532	0.09581609375
533	0.09552372978
534	0.0953435388
535	0.09507932501
536	0.09491006585
537	0.09462948915
538	0.0944518844
539	0.09432653156
540	0.09411321687
541	0.09395598371
542	0.0938457305
543	0.0934675433
544	0.09315829917
545	0.09296553511
546	0.09275632856
547	0.09258797458
548	0.09235127435
549	0.09214199817
550	0.09197516609
551	0.09180166948
552	0.09156691888
553	0.091327712
554	0.09110205301
555	0.09095188225
556	0.09073206219
557	0.09057174543
558	0.09038625267
559	0.09011943275
560	0.08997978598
561	0.08975232658
562	0.08951456202
563	0.08928981816
564	0.0891224191
565	0.08895272226
566	0.08879916951
567	0.08865132636
568	0.08846233224
569	0.08817994517
570	0.08794772112
571	0.0878146991
572	0.08764801622
573	0.08743548735
574	0.08728770389
575	0.08717643608
576	0.08702997558
577	0.08688594216
578	0.08672230309
579	0.08645898453
580	0.08636081701
581	0.08619788417
582	0.08602381063
583	0.08584200823
584	0.08565828604
585	0.08553209765
586	0.08534356109
587	0.08516994511
588	0.08502495677
589	0.08480789204
590	0.08460155025
591	0.0844804249
592	0.08422260707
593	0.08411782475
594	0.08391989816
595	0.08381179352
596	0.08372969049
597	0.08352836201
598	0.08336544907
599	0.08319120643
600	0.08298416337
601	0.08285024113
602	0.08263000826
603	0.08252137643
604	0.08233611742
605	0.0821406776
606	0.08202816641
607	0.08182569402
608	0.08172815315
609	0.08157447606
610	0.08140118834
611	0.08130942672
612	0.08116443838
613	0.08105195206
614	0.08085756165
615	0.08063251938
616	0.08051155816
617	0.08037590514
618	0.08023189659
619	0.08013228176
620	0.0799177038
621	0.07974095948
622	0.07960094964
623	0.07947452749
624	0.07932237727
625	0.07919300084
626	0.07896306959
627	0.07880113147
628	0.07866680638
629	0.07844947308
630	0.07839043231
631	0.07817897274
632	0.0780487906
633	0.07795553195
634	0.07786508831
635	0.07776191741
636	0.07771296296
637	0.07758891318
638	0.07739381156
639	0.07724033838
640	0.07710031363
641	0.0770013006
642	0.07688010065
643	0.076829117
644	0.07669849222
645	0.07658591637
646	0.0764432457
647	0.07635522915
648	0.07622606658
649	0.07610910906
650	0.07603981287
651	0.07586101945
652	0.0755666412
653	0.07530712242
654	0.07526857259
655	0.07504865803
656	0.07486221532
657	0.07471215896
658	0.07459748926
659	0.07446444237
660	0.07431193405
661	0.07415456163
662	0.07402809969
663	0.07394194821
664	0.07386059618
665	0.07379670622
666	0.07360695611
667	0.07347615726
668	0.07331215014
669	0.07320060382
670	0.07312229062
671	0.07299462011
672	0.07279263015
673	0.07266355214
674	0.0724757616
675	0.07236402131
676	0.07224847627
677	0.07207865013
678	0.07190580007
679	0.07182274213
680	0.07169520591
681	0.07159396474
682	0.07143740797
683	0.07137688509
684	0.07127031727
685	0.07115988999
686	0.07100464126
687	0.07082297811
688	0.07062052064
689	0.07048782189
690	0.07040320226
691	0.07027048859
692	0.07019493571
693	0.07003179398
694	0.06990494411
695	0.06978368448
696	0.06956782832
697	0.06946933751
698	0.06935874611
699	0.06921549851
700	0.0690165225
701	0.06888873761
702	0.06870703965
703	0.06865006289
704	0.06848359388
705	0.06829888196
706	0.06813067718
707	0.06801315765
708	0.06792952775
709	0.06779020426
710	0.06766124064
711	0.0675012024
712	0.06743351764
713	0.06722695203
714	0.0671319974
715	0.06699966669
716	0.06689233792
717	0.06678134366
718	0.06670685013
719	0.06661724205
720	0.06648822869
721	0.06628816348
722	0.06620367814
723	0.06607663429
724	0.06598920462
725	0.06590386382
726	0.06581121194
727	0.06568869401
728	0.06552694985
729	0.06543539711
730	0.06530627931
731	0.06521668614
732	0.06505291776
733	0.06493514458
734	0.06482550809
735	0.06473600942
736	0.06468112652
737	0.06462299093
738	0.06455652468
739	0.06450441701
740	0.06435169981
741	0.06424331168
742	0.06417263285
743	0.06408386529
744	0.06399945952
745	0.06392664704
746	0.06379376925
747	0.06371096993
748	0.06362848394
749	0.06343642114
750	0.06332708804
751	0.06317567887
752	0.06306128272
753	0.06290220935
754	0.06280650371
755	0.0626981305
756	0.06262156799
757	0.06249052045
758	0.06231044884
759	0.06216823573
760	0.06205159154
761	0.06194856984
762	0.06187277325
763	0.06176134132
764	0.06159823939
765	0.06150485639
766	0.06132756995
767	0.0612261
768	0.06096576059
769	0.06085133459
770	0.06077552308
771	0.06070779853
772	0.06063664721
773	0.06056682383
774	0.06046719408
775	0.06040068804
776	0.06025919112
777	0.06008449589
778	0.05994080565
779	0.0598952133
780	0.05975171702
781	0.05967232954
782	0.05953009157
783	0.0594501371
784	0.05930153798
785	0.05921734607
786	0.05909371407
787	0.05899876939
788	0.05883563264
789	0.05878355979
790	0.05872415097
791	0.05855271341
792	0.05845598323
793	0.05827038105
794	0.0581455554
795	0.05800915137
796	0.05791351537
797	0.0578210674
798	0.05771229133
799	0.05765066433
800	0.05751334517
801	0.05742533359
802	0.05733283589
803	0.05719749122
804	0.05708417432
805	0.05704079022
806	0.05697275234
807	0.05683654725
808	0.056766137
809	0.05669122072
810	0.05664970169
811	0.05658028614
812	0.0565494801
813	0.05647248986
814	0.05638827805
815	0.05630062456
816	0.05620382476
817	0.05610149438
818	0.0560229524
819	0.05588981599
820	0.0558184906
821	0.05573523371
822	0.05565573681
823	0.05557948265
824	0.05546647411
825	0.0554386124
826	0.05537863661
827	0.05528543763
828	0.05519970393
829	0.05515308703
830	0.05507187427
831	0.0549894778
832	0.0549387279
833	0.05483874006
834	0.05477160736
835	0.05472115588
836	0.05455960568
837	0.05448965299
838	0.05437014902
839	0.05428095374
840	0.05422138577
841	0.0541715709
842	0.0541109187
843	0.05396597513
844	0.05392106416
845	0.05384338757
846	0.05378672415
847	0.05363054039
848	0.05356178134
849	0.05349212706
850	0.05339652587
851	0.05330832033
852	0.05319226301
853	0.05310659893
854	0.05300242338
855	0.05295283232
856	0.05287033638
857	0.05281271804
858	0.05274885792
859	0.05261850171
860	0.05253584662
861	0.05245251015
862	0.05235959467
863	0.05229301403
864	0.05222331001
865	0.05214281841
866	0.05208224579
867	0.05201544134
868	0.05193999289
869	0.05180341977
870	0.05174053943
871	0.05165088161
872	0.0515779249
873	0.05151090162
874	0.05138228614
875	0.05129290187
876	0.05119841972
877	0.05115359827
878	0.05105723116
879	0.05096143103
880	0.05091814143
881	0.05088676343
882	0.05076931353
883	0.0507078407
884	0.05063048739
885	0.05057259551
886	0.05047059339
887	0.05039183755
888	0.05034118215
889	0.05025542357
890	0.05016217984
891	0.05011050984
892	0.05001975784
893	0.04992238608
